Glyph,Name ,Character(s) 
Á,Aacute; ,U+000C1 
Á,Aacute ,U+000C1 
á,aacute; ,U+000E1 
á,aacute ,U+000E1 
Ă,Abreve; ,U+00102 
ă,abreve; ,U+00103 
∾,ac; ,U+0223E 
∿,acd; ,U+0223F 
∾̳,acE; ,U+0223E U+00333 
Â,Acirc; ,U+000C2 
Â,Acirc ,U+000C2 
â,acirc; ,U+000E2 
â,acirc ,U+000E2 
´,acute; ,U+000B4 
´,acute ,U+000B4 
А,Acy; ,U+00410 
а,acy; ,U+00430 
Æ,AElig; ,U+000C6 
Æ,AElig ,U+000C6 
æ,aelig; ,U+000E6 
æ,aelig ,U+000E6 
⁡,af; ,U+02061 
𝔄,Afr; ,U+1D504 
𝔞,afr; ,U+1D51E 
À,Agrave; ,U+000C0 
À,Agrave ,U+000C0 
à,agrave; ,U+000E0 
à,agrave ,U+000E0 
ℵ,alefsym; ,U+02135 
ℵ,aleph; ,U+02135 
Α,Alpha; ,U+00391 
α,alpha; ,U+003B1 
Ā,Amacr; ,U+00100 
ā,amacr; ,U+00101 
⨿,amalg; ,U+02A3F 
&,AMP; ,U+00026 
&,AMP ,U+00026 
&,amp; ,U+00026 
&,amp ,U+00026 
⩓,And; ,U+02A53 
∧,and; ,U+02227 
⩕,andand; ,U+02A55 
⩜,andd; ,U+02A5C 
⩘,andslope; ,U+02A58 
⩚,andv; ,U+02A5A 
∠,ang; ,U+02220 
⦤,ange; ,U+029A4 
∠,angle; ,U+02220 
∡,angmsd; ,U+02221 
⦨,angmsdaa; ,U+029A8 
⦩,angmsdab; ,U+029A9 
⦪,angmsdac; ,U+029AA 
⦫,angmsdad; ,U+029AB 
⦬,angmsdae; ,U+029AC 
⦭,angmsdaf; ,U+029AD 
⦮,angmsdag; ,U+029AE 
⦯,angmsdah; ,U+029AF 
∟,angrt; ,U+0221F 
⊾,angrtvb; ,U+022BE 
⦝,angrtvbd; ,U+0299D 
∢,angsph; ,U+02222 
Å,angst; ,U+000C5 
⍼,angzarr; ,U+0237C 
Ą,Aogon; ,U+00104 
ą,aogon; ,U+00105 
𝔸,Aopf; ,U+1D538 
𝕒,aopf; ,U+1D552 
≈,ap; ,U+02248 
⩯,apacir; ,U+02A6F 
⩰,apE; ,U+02A70 
≊,ape; ,U+0224A 
≋,apid; ,U+0224B 
',apos; ,U+00027 
⁡,ApplyFunction; ,U+02061 
≈,approx; ,U+02248 
≊,approxeq; ,U+0224A 
Å,Aring; ,U+000C5 
Å,Aring ,U+000C5 
å,aring; ,U+000E5 
å,aring ,U+000E5 
𝒜,Ascr; ,U+1D49C 
𝒶,ascr; ,U+1D4B6 
≔,Assign; ,U+02254 
*,ast; ,U+0002A 
≈,asymp; ,U+02248 
≍,asympeq; ,U+0224D 
Ã,Atilde; ,U+000C3 
Ã,Atilde ,U+000C3 
ã,atilde; ,U+000E3 
ã,atilde ,U+000E3 
Ä,Auml; ,U+000C4 
Ä,Auml ,U+000C4 
ä,auml; ,U+000E4 
ä,auml ,U+000E4 
∳,awconint; ,U+02233 
⨑,awint; ,U+02A11 
≌,backcong; ,U+0224C 
϶,backepsilon; ,U+003F6 
‵,backprime; ,U+02035 
∽,backsim; ,U+0223D 
⋍,backsimeq; ,U+022CD 
∖,Backslash; ,U+02216 
⫧,Barv; ,U+02AE7 
⊽,barvee; ,U+022BD 
⌆,Barwed; ,U+02306 
⌅,barwed; ,U+02305 
⌅,barwedge; ,U+02305 
⎵,bbrk; ,U+023B5 
⎶,bbrktbrk; ,U+023B6 
≌,bcong; ,U+0224C 
Б,Bcy; ,U+00411 
б,bcy; ,U+00431 
„,bdquo; ,U+0201E 
∵,becaus; ,U+02235 
∵,Because; ,U+02235 
∵,because; ,U+02235 
⦰,bemptyv; ,U+029B0 
϶,bepsi; ,U+003F6 
ℬ,bernou; ,U+0212C 
ℬ,Bernoullis; ,U+0212C 
Β,Beta; ,U+00392 
β,beta; ,U+003B2 
ℶ,beth; ,U+02136 
≬,between; ,U+0226C 
𝔅,Bfr; ,U+1D505 
𝔟,bfr; ,U+1D51F 
⋂,bigcap; ,U+022C2 
◯,bigcirc; ,U+025EF 
⋃,bigcup; ,U+022C3 
⨀,bigodot; ,U+02A00 
⨁,bigoplus; ,U+02A01 
⨂,bigotimes; ,U+02A02 
⨆,bigsqcup; ,U+02A06 
★,bigstar; ,U+02605 
▽,bigtriangledown; ,U+025BD 
△,bigtriangleup; ,U+025B3 
⨄,biguplus; ,U+02A04 
⋁,bigvee; ,U+022C1 
⋀,bigwedge; ,U+022C0 
⤍,bkarow; ,U+0290D 
⧫,blacklozenge; ,U+029EB 
▪,blacksquare; ,U+025AA 
▴,blacktriangle; ,U+025B4 
▾,blacktriangledown; ,U+025BE 
◂,blacktriangleleft; ,U+025C2 
▸,blacktriangleright; ,U+025B8 
␣,blank; ,U+02423 
▒,blk12; ,U+02592 
░,blk14; ,U+02591 
▓,blk34; ,U+02593 
█,block; ,U+02588 
#NAME?,bne; ,U+0003D U+020E5 
≡⃥,bnequiv; ,U+02261 U+020E5 
⫭,bNot; ,U+02AED 
⌐,bnot; ,U+02310 
𝔹,Bopf; ,U+1D539 
𝕓,bopf; ,U+1D553 
⊥,bot; ,U+022A5 
⊥,bottom; ,U+022A5 
⋈,bowtie; ,U+022C8 
⧉,boxbox; ,U+029C9 
╗,boxDL; ,U+02557 
╖,boxDl; ,U+02556 
╕,boxdL; ,U+02555 
┐,boxdl; ,U+02510 
╔,boxDR; ,U+02554 
╓,boxDr; ,U+02553 
╒,boxdR; ,U+02552 
┌,boxdr; ,U+0250C 
═,boxH; ,U+02550 
─,boxh; ,U+02500 
╦,boxHD; ,U+02566 
╤,boxHd; ,U+02564 
╥,boxhD; ,U+02565 
┬,boxhd; ,U+0252C 
╩,boxHU; ,U+02569 
╧,boxHu; ,U+02567 
╨,boxhU; ,U+02568 
┴,boxhu; ,U+02534 
⊟,boxminus; ,U+0229F 
⊞,boxplus; ,U+0229E 
⊠,boxtimes; ,U+022A0 
╝,boxUL; ,U+0255D 
╜,boxUl; ,U+0255C 
╛,boxuL; ,U+0255B 
┘,boxul; ,U+02518 
╚,boxUR; ,U+0255A 
╙,boxUr; ,U+02559 
╘,boxuR; ,U+02558 
└,boxur; ,U+02514 
║,boxV; ,U+02551 
│,boxv; ,U+02502 
╬,boxVH; ,U+0256C 
╫,boxVh; ,U+0256B 
╪,boxvH; ,U+0256A 
┼,boxvh; ,U+0253C 
╣,boxVL; ,U+02563 
╢,boxVl; ,U+02562 
╡,boxvL; ,U+02561 
┤,boxvl; ,U+02524 
╠,boxVR; ,U+02560 
╟,boxVr; ,U+0255F 
╞,boxvR; ,U+0255E 
├,boxvr; ,U+0251C 
‵,bprime; ,U+02035 
˘,Breve; ,U+002D8 
˘,breve; ,U+002D8 
¦,brvbar; ,U+000A6 
¦,brvbar ,U+000A6 
ℬ,Bscr; ,U+0212C 
𝒷,bscr; ,U+1D4B7 
⁏,bsemi; ,U+0204F 
∽,bsim; ,U+0223D 
⋍,bsime; ,U+022CD 
\,bsol; ,U+0005C 
⧅,bsolb; ,U+029C5 
⟈,bsolhsub; ,U+027C8 
•,bull; ,U+02022 
•,bullet; ,U+02022 
≎,bump; ,U+0224E 
⪮,bumpE; ,U+02AAE 
≏,bumpe; ,U+0224F 
≎,Bumpeq; ,U+0224E 
≏,bumpeq; ,U+0224F 
Ć,Cacute; ,U+00106 
ć,cacute; ,U+00107 
⋒,Cap; ,U+022D2 
∩,cap; ,U+02229 
⩄,capand; ,U+02A44 
⩉,capbrcup; ,U+02A49 
⩋,capcap; ,U+02A4B 
⩇,capcup; ,U+02A47 
⩀,capdot; ,U+02A40 
ⅅ,CapitalDifferentialD; ,U+02145 
∩︀,caps; ,U+02229 U+0FE00 
⁁,caret; ,U+02041 
ˇ,caron; ,U+002C7 
ℭ,Cayleys; ,U+0212D 
⩍,ccaps; ,U+02A4D 
Č,Ccaron; ,U+0010C 
č,ccaron; ,U+0010D 
Ç,Ccedil; ,U+000C7 
Ç,Ccedil ,U+000C7 
ç,ccedil; ,U+000E7 
ç,ccedil ,U+000E7 
Ĉ,Ccirc; ,U+00108 
ĉ,ccirc; ,U+00109 
∰,Cconint; ,U+02230 
⩌,ccups; ,U+02A4C 
⩐,ccupssm; ,U+02A50 
Ċ,Cdot; ,U+0010A 
ċ,cdot; ,U+0010B 
¸,cedil; ,U+000B8 
¸,cedil ,U+000B8 
¸,Cedilla; ,U+000B8 
⦲,cemptyv; ,U+029B2 
¢,cent; ,U+000A2 
¢,cent ,U+000A2 
·,CenterDot; ,U+000B7 
·,centerdot; ,U+000B7 
ℭ,Cfr; ,U+0212D 
𝔠,cfr; ,U+1D520 
Ч,CHcy; ,U+00427 
ч,chcy; ,U+00447 
✓,check; ,U+02713 
✓,checkmark; ,U+02713 
Χ,Chi; ,U+003A7 
χ,chi; ,U+003C7 
○,cir; ,U+025CB 
ˆ,circ; ,U+002C6 
≗,circeq; ,U+02257 
↺,circlearrowleft; ,U+021BA 
↻,circlearrowright; ,U+021BB 
⊛,circledast; ,U+0229B 
⊚,circledcirc; ,U+0229A 
⊝,circleddash; ,U+0229D 
⊙,CircleDot; ,U+02299 
®,circledR; ,U+000AE 
Ⓢ,circledS; ,U+024C8 
⊖,CircleMinus; ,U+02296 
⊕,CirclePlus; ,U+02295 
⊗,CircleTimes; ,U+02297 
⧃,cirE; ,U+029C3 
≗,cire; ,U+02257 
⨐,cirfnint; ,U+02A10 
⫯,cirmid; ,U+02AEF 
⧂,cirscir; ,U+029C2 
∲,ClockwiseContourIntegral; ,U+02232 
”,CloseCurlyDoubleQuote; ,U+0201D 
’,CloseCurlyQuote; ,U+02019 
♣,clubs; ,U+02663 
♣,clubsuit; ,U+02663 
∷,Colon; ,U+02237 
:,colon; ,U+0003A 
⩴,Colone; ,U+02A74 
≔,colone; ,U+02254 
≔,coloneq; ,U+02254 
,comma; ,U+0002C 
@,commat; ,U+00040 
∁,comp; ,U+02201 
∘,compfn; ,U+02218 
∁,complement; ,U+02201 
ℂ,complexes; ,U+02102 
≅,cong; ,U+02245 
⩭,congdot; ,U+02A6D 
≡,Congruent; ,U+02261 
∯,Conint; ,U+0222F 
∮,conint; ,U+0222E 
∮,ContourIntegral; ,U+0222E 
ℂ,Copf; ,U+02102 
𝕔,copf; ,U+1D554 
∐,coprod; ,U+02210 
∐,Coproduct; ,U+02210 
©,COPY; ,U+000A9 
©,COPY ,U+000A9 
©,copy; ,U+000A9 
©,copy ,U+000A9 
℗,copysr; ,U+02117 
∳,CounterClockwiseContourIntegral; ,U+02233 
↵,crarr; ,U+021B5 
⨯,Cross; ,U+02A2F 
✗,cross; ,U+02717 
𝒞,Cscr; ,U+1D49E 
𝒸,cscr; ,U+1D4B8 
⫏,csub; ,U+02ACF 
⫑,csube; ,U+02AD1 
⫐,csup; ,U+02AD0 
⫒,csupe; ,U+02AD2 
⋯,ctdot; ,U+022EF 
⤸,cudarrl; ,U+02938 
⤵,cudarrr; ,U+02935 
⋞,cuepr; ,U+022DE 
⋟,cuesc; ,U+022DF 
↶,cularr; ,U+021B6 
⤽,cularrp; ,U+0293D 
⋓,Cup; ,U+022D3 
∪,cup; ,U+0222A 
⩈,cupbrcap; ,U+02A48 
≍,CupCap; ,U+0224D 
⩆,cupcap; ,U+02A46 
⩊,cupcup; ,U+02A4A 
⊍,cupdot; ,U+0228D 
⩅,cupor; ,U+02A45 
∪︀,cups; ,U+0222A U+0FE00 
↷,curarr; ,U+021B7 
⤼,curarrm; ,U+0293C 
⋞,curlyeqprec; ,U+022DE 
⋟,curlyeqsucc; ,U+022DF 
⋎,curlyvee; ,U+022CE 
⋏,curlywedge; ,U+022CF 
¤,curren; ,U+000A4 
¤,curren ,U+000A4 
↶,curvearrowleft; ,U+021B6 
↷,curvearrowright; ,U+021B7 
⋎,cuvee; ,U+022CE 
⋏,cuwed; ,U+022CF 
∲,cwconint; ,U+02232 
∱,cwint; ,U+02231 
⌭,cylcty; ,U+0232D 
‡,Dagger; ,U+02021 
†,dagger; ,U+02020 
ℸ,daleth; ,U+02138 
↡,Darr; ,U+021A1 
⇓,dArr; ,U+021D3 
↓,darr; ,U+02193 
‐,dash; ,U+02010 
⫤,Dashv; ,U+02AE4 
⊣,dashv; ,U+022A3 
⤏,dbkarow; ,U+0290F 
˝,dblac; ,U+002DD 
Ď,Dcaron; ,U+0010E 
ď,dcaron; ,U+0010F 
Д,Dcy; ,U+00414 
д,dcy; ,U+00434 
ⅅ,DD; ,U+02145 
ⅆ,dd; ,U+02146 
‡,ddagger; ,U+02021 
⇊,ddarr; ,U+021CA 
⤑,DDotrahd; ,U+02911 
⩷,ddotseq; ,U+02A77 
°,deg; ,U+000B0 
°,deg ,U+000B0 
∇,Del; ,U+02207 
Δ,Delta; ,U+00394 
δ,delta; ,U+003B4 
⦱,demptyv; ,U+029B1 
⥿,dfisht; ,U+0297F 
𝔇,Dfr; ,U+1D507 
𝔡,dfr; ,U+1D521 
⥥,dHar; ,U+02965 
⇃,dharl; ,U+021C3 
⇂,dharr; ,U+021C2 
´,DiacriticalAcute; ,U+000B4 
˙,DiacriticalDot; ,U+002D9 
˝,DiacriticalDoubleAcute; ,U+002DD 
`,DiacriticalGrave; ,U+00060 
˜,DiacriticalTilde; ,U+002DC 
⋄,diam; ,U+022C4 
⋄,Diamond; ,U+022C4 
⋄,diamond; ,U+022C4 
♦,diamondsuit; ,U+02666 
♦,diams; ,U+02666 
¨,die; ,U+000A8 
ⅆ,DifferentialD; ,U+02146 
ϝ,digamma; ,U+003DD 
⋲,disin; ,U+022F2 
÷,div; ,U+000F7 
÷,divide; ,U+000F7 
÷,divide ,U+000F7 
⋇,divideontimes; ,U+022C7 
⋇,divonx; ,U+022C7 
Ђ,DJcy; ,U+00402 
ђ,djcy; ,U+00452 
⌞,dlcorn; ,U+0231E 
⌍,dlcrop; ,U+0230D 
$,dollar; ,U+00024 
𝔻,Dopf; ,U+1D53B 
𝕕,dopf; ,U+1D555 
¨,Dot; ,U+000A8 
˙,dot; ,U+002D9 
◌⃜,DotDot; ,U+020DC 
≐,doteq; ,U+02250 
≑,doteqdot; ,U+02251 
≐,DotEqual; ,U+02250 
∸,dotminus; ,U+02238 
∔,dotplus; ,U+02214 
⊡,dotsquare; ,U+022A1 
⌆,doublebarwedge; ,U+02306 
∯,DoubleContourIntegral; ,U+0222F 
¨,DoubleDot; ,U+000A8 
⇓,DoubleDownArrow; ,U+021D3 
⇐,DoubleLeftArrow; ,U+021D0 
⇔,DoubleLeftRightArrow; ,U+021D4 
⫤,DoubleLeftTee; ,U+02AE4 
⟸,DoubleLongLeftArrow; ,U+027F8 
⟺,DoubleLongLeftRightArrow; ,U+027FA 
⟹,DoubleLongRightArrow; ,U+027F9 
⇒,DoubleRightArrow; ,U+021D2 
⊨,DoubleRightTee; ,U+022A8 
⇑,DoubleUpArrow; ,U+021D1 
⇕,DoubleUpDownArrow; ,U+021D5 
∥,DoubleVerticalBar; ,U+02225 
↓,DownArrow; ,U+02193 
⇓,Downarrow; ,U+021D3 
↓,downarrow; ,U+02193 
⤓,DownArrowBar; ,U+02913 
⇵,DownArrowUpArrow; ,U+021F5 
◌̑,DownBreve; ,U+00311 
⇊,downdownarrows; ,U+021CA 
⇃,downharpoonleft; ,U+021C3 
⇂,downharpoonright; ,U+021C2 
⥐,DownLeftRightVector; ,U+02950 
⥞,DownLeftTeeVector; ,U+0295E 
↽,DownLeftVector; ,U+021BD 
⥖,DownLeftVectorBar; ,U+02956 
⥟,DownRightTeeVector; ,U+0295F 
⇁,DownRightVector; ,U+021C1 
⥗,DownRightVectorBar; ,U+02957 
⊤,DownTee; ,U+022A4 
↧,DownTeeArrow; ,U+021A7 
⤐,drbkarow; ,U+02910 
⌟,drcorn; ,U+0231F 
⌌,drcrop; ,U+0230C 
𝒟,Dscr; ,U+1D49F 
𝒹,dscr; ,U+1D4B9 
Ѕ,DScy; ,U+00405 
ѕ,dscy; ,U+00455 
⧶,dsol; ,U+029F6 
Đ,Dstrok; ,U+00110 
đ,dstrok; ,U+00111 
⋱,dtdot; ,U+022F1 
▿,dtri; ,U+025BF 
▾,dtrif; ,U+025BE 
⇵,duarr; ,U+021F5 
⥯,duhar; ,U+0296F 
⦦,dwangle; ,U+029A6 
Џ,DZcy; ,U+0040F 
џ,dzcy; ,U+0045F 
⟿,dzigrarr; ,U+027FF 
É,Eacute; ,U+000C9 
É,Eacute ,U+000C9 
é,eacute; ,U+000E9 
é,eacute ,U+000E9 
⩮,easter; ,U+02A6E 
Ě,Ecaron; ,U+0011A 
ě,ecaron; ,U+0011B 
≖,ecir; ,U+02256 
Ê,Ecirc; ,U+000CA 
Ê,Ecirc ,U+000CA 
ê,ecirc; ,U+000EA 
ê,ecirc ,U+000EA 
≕,ecolon; ,U+02255 
Э,Ecy; ,U+0042D 
э,ecy; ,U+0044D 
⩷,eDDot; ,U+02A77 
Ė,Edot; ,U+00116 
≑,eDot; ,U+02251 
ė,edot; ,U+00117 
ⅇ,ee; ,U+02147 
≒,efDot; ,U+02252 
𝔈,Efr; ,U+1D508 
𝔢,efr; ,U+1D522 
⪚,eg; ,U+02A9A 
È,Egrave; ,U+000C8 
È,Egrave ,U+000C8 
è,egrave; ,U+000E8 
è,egrave ,U+000E8 
⪖,egs; ,U+02A96 
⪘,egsdot; ,U+02A98 
⪙,el; ,U+02A99 
∈,Element; ,U+02208 
⏧,elinters; ,U+023E7 
ℓ,ell; ,U+02113 
⪕,els; ,U+02A95 
⪗,elsdot; ,U+02A97 
Ē,Emacr; ,U+00112 
ē,emacr; ,U+00113 
∅,empty; ,U+02205 
∅,emptyset; ,U+02205 
◻,EmptySmallSquare; ,U+025FB 
∅,emptyv; ,U+02205 
▫,EmptyVerySmallSquare; ,U+025AB 
 ,emsp; ,U+02003 
 ,emsp13; ,U+02004 
 ,emsp14; ,U+02005 
Ŋ,ENG; ,U+0014A 
ŋ,eng; ,U+0014B 
 ,ensp; ,U+02002 
Ę,Eogon; ,U+00118 
ę,eogon; ,U+00119 
𝔼,Eopf; ,U+1D53C 
𝕖,eopf; ,U+1D556 
⋕,epar; ,U+022D5 
⧣,eparsl; ,U+029E3 
⩱,eplus; ,U+02A71 
ε,epsi; ,U+003B5 
Ε,Epsilon; ,U+00395 
ε,epsilon; ,U+003B5 
ϵ,epsiv; ,U+003F5 
≖,eqcirc; ,U+02256 
≕,eqcolon; ,U+02255 
≂,eqsim; ,U+02242 
⪖,eqslantgtr; ,U+02A96 
⪕,eqslantless; ,U+02A95 
⩵,Equal; ,U+02A75 
=,equals; ,U+0003D 
≂,EqualTilde; ,U+02242 
≟,equest; ,U+0225F 
